ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
40            2015-10-10T00:37:24.018  7777.08837890625  -5070.2509765625     -5883.595703125      398.6973571777344    2015-10-10T12:33:54.018  76444.203125      51114.0078125        56712.9296875        -3836.489990234375   
41            2015-10-11T00:30:24.018  7770.69775390625  -5267.169921875      -5700.03271484375    387.6871337890625    2015-10-11T12:26:54.018  76452.109375      52030.11328125       55881.32421875       -3882.09130859375    
42            2015-10-12T00:23:54.268  7762.19384765625  -5258.95458984375    -5694.79833984375    405.3587341308594    2015-10-12T12:20:24.268  76462.5859375     52912.1484375        55057.9765625        -3930.756103515625   
43            2015-10-13T00:16:54.248  7751.5625         -5481.84619140625    -5466.69384765625    389.02978515625      2015-10-13T12:13:54.248  76474.6796875     53780.3671875        54223.734375         -3979.377685546875   
44            2015-10-14T00:10:24.248  7739.72021484375  -5522.20361328125    -5408.27880859375    398.8155517578125    2015-10-14T12:07:24.248  76480.890625      54600.55859375       53403.90625          -4016.100341796875   
45            2015-10-15T23:57:54.248  7730.83349609375  -5656.2587890625     -5253.98046875       410.14569091796875   2015-10-15T12:00:54.248  76491.5078125     55445.3359375        52538.13671875       -4063.230712890625   
46            2015-10-16T23:51:24.248  7725.83154296875  -5767.8125           -5123.767578125      409.6573181152344    2015-10-16T11:54:54.248  76494.1484375     56239.546875         51687.203125         -4111.04736328125    
47            2015-10-17T23:44:54.248  7725.2177734375   -5880.71484375       -4992.85791015625    409.3375244140625    2015-10-17T11:48:24.248  76497.265625      57040.953125         50802.17578125       -4159.509765625      
48            2015-10-18T23:38:54.248  7728.22900390625  -5791.740234375      -5097.80224609375    440.10772705078125   2015-10-18T11:41:54.248  76495.8828125     57826.26171875       49900.27734375       -4207.76513671875    
49            2015-10-19T23:31:54.227  7733.64697265625  -6053.7412109375     -4794.47900390625    417.7270202636719    2015-10-19T11:35:24.248  76490.953125      58597.328125         48980.69921875       -4255.66796875       
